Abbreviation,Best-hit-arabi-defline,class,colors,degree.layout,Description,gene_id,gene_metabolite,GO,GODescription,KO,KOG,locusName,name,Panther,Pathways,Pathways_Desc,Pfam,selected,shared name
,Citrate synthase family protein,carb,red,48,(1 of 4) 2.3.3.1//2.3.3.16 - Citrate (Si)-synthase / Citrate oxaloacetate-lyase ((pro-3S)-CH(2)COO->acetyl-CoA) // Citrate synthase (unknown stereospecificity) / Oxaloacetate transacetase,Manes.07G000500.v8.1,gene,GO:0004108 GO:0006101 GO:0046912,"citrate (Si)-synthase activity; citrate metabolic process; acyltransferase activity, acyl groups converted into alkyl on transfer",K01647,,,Manes.07G000500,PTHR11739 PTHR11739:SF8,GLYOXYLATE-BYPASS; PWY-5464; PWY-5690; PWY-6549; PWY-561,"glyoxylate cycle; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); L-glutamine biosynthesis III; superpathway of glyoxylate cycle and fatty acid degradation",PF00285,FALSE,Manes.07G000500
,,carb,purple,54,(1 of 2) PTHR11817//PTHR11817:SF21 - PYRUVATE KINASE // SUBFAMILY NOT NAMED,Manes.07G056100.v8.1,gene,GO:0000287 GO:0004743 GO:0006096 GO:0030955,magnesium ion binding; pyruvate kinase activity; glycolytic process; potassium ion binding,K00873,KOG2323,,Manes.07G056100,PTHR11817 PTHR11817:SF21,PWY-5464; PWY-5723; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Rubisco shunt; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation",PF00224 PF02887,FALSE,Manes.07G056100
,isocitrate dehydrogenase V,carb,pink,66,(1 of 4) 1.1.1.41 - Isocitrate dehydrogenase (NAD(+)) / Nicotinamide adenine dinucleotide isocitrate dehydrogenase,Manes.08G008500.v8.1,gene,GO:0000287 GO:0004449 GO:0006099 GO:0016616 GO:0051287 GO:0055114,"magnesium ion binding; isocitrate dehydrogenase (NAD+) activity; tricarboxylic acid cycle; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; NAD binding",K00030,,,Manes.08G008500,PTHR11835,PWY-5464; PWY-5690; PWY-6549,"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); L-glutamine biosynthesis III",PF00180,FALSE,Manes.08G008500
,Aldolase superfamily protein,carb,yellow,148,(1 of 10) K01623 - fructose-bisphosphate aldolase; class I (ALDO),Manes.08G021400.v8.1,gene,GO:0004332 GO:0006096,fructose-bisphosphate aldolase activity; glycolytic process,K01623,,,Manes.08G021400,PTHR11627,PWY66-399; PWY66-373; PHOTOALL-PWY; GLUCONEO-PWY; PWY-5464; CALVIN-PWY; PWY-1042; SUCSYN-PWY; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"gluconeogenesis III; sucrose degradation V (sucrose &alpha;-glucosidase); oxygenic photosynthesis; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Calvin-Benson-Bassham cycle; glycolysis IV (plant cytosol); sucrose biosynthesis I (from photosynthesis); glycolysis III (from glucose); homolactic fermentation",PF00274,FALSE,Manes.08G021400
,Carbohydrate-binding-like fold,carb,darkturquoise,65,(1 of 2) 2.7.9.5 - Phosphoglucan; water dikinase,Manes.08G091100.v8.1,gene,GO:0003824 GO:2001070,catalytic activity; starch binding,,,,Manes.08G091100,PTHR10357 PTHR10357:SF149,PWY-6724,starch degradation II,PF00686,FALSE,Manes.08G091100
,Transketolase family protein,carb,darkgreen,94,(1 of 2) PTHR11624//PTHR11624:SF56 - DEHYDROGENASE RELATED // PYRUVATE DEHYDROGENASE E1 COMPONENT SUBUNIT BETA; MITOCHONDRIAL,Manes.08G103800.v8.1,gene,GO:0003824 GO:0004739 GO:0006086 GO:0008152,catalytic activity; pyruvate dehydrogenase (acetyl-transferring) activity; acetyl-CoA biosynthetic process from pyruvate; metabolic process,K00162,,,Manes.08G103800,PTHR11624 PTHR11624:SF56,PWY-5173; PWY-5464; PYRUVDEHYD-PWY,"superpathway of acetyl-CoA biosynthesis; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; pyruvate decarboxylation to acetyl CoA",PF02779 PF02780,FALSE,Manes.08G103800
ZISO,zeta-carotene desaturase,carot,pink,79,(1 of 1) 1.14.99.30 - Transferred entry: 1.3.5.6,Manes.08G128100.v8.1,gene,GO:0016117 GO:0016719 GO:0055114,"carotenoid biosynthetic process; 9,9'-di-cis-zeta-carotene desaturase activity",K00514,KOG0029,,Manes.08G128100,PTHR10742 PTHR10742:SF274,CAROTENOID-PWY; PWY-6475,superpathway of carotenoid biosynthesis; <i>trans</i>-lycopene biosynthesis II (plants),PF13450,TRUE,Manes.08G128100
,,carb,turquoise,55,(1 of 2) PTHR10357:SF119 - 1;4-ALPHA-GLUCAN-BRANCHING ENZYME 3; CHLOROPLASTIC/AMYLOPLASTIC,Manes.09G076472.v8.1,gene,GO:0003824 GO:0005975 GO:0043169,catalytic activity; carbohydrate metabolic process; cation binding,,,,Manes.09G076472,PTHR10357 PTHR10357:SF119,GLYCOGENSYNTH-PWY; PWY-622,glycogen biosynthesis I (from ADP-D-Glucose); starch biosynthesis,PF02806,FALSE,Manes.09G076472
,phosphofructokinase 2,carb,salmon,75,(1 of 2) PTHR13697//PTHR13697:SF11 - PHOSPHOFRUCTOKINASE // 6-PHOSPHOFRUCTOKINASE 2,Manes.09G085200.v8.1,gene,GO:0003872 GO:0005524 GO:0006002 GO:0006096,6-phosphofructokinase activity; ATP binding; fructose 6-phosphate metabolic process; glycolytic process,K00850,KOG2440,,Manes.09G085200,PTHR13697 PTHR13697:SF11,PWY-5464; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation",PF00365,FALSE,Manes.09G085200
,fructokinase-like 1,carb,turquoise,31,(1 of 1) PTHR10584//PTHR10584:SF175 - SUGAR KINASE // FRUCTOKINASE-LIKE 1,Manes.09G100784.v8.1,gene,,,,KOG2855,,Manes.09G100784,PTHR10584 PTHR10584:SF175,PWY-4101; PWY-3801; PWY-621,D-sorbitol degradation I; sucrose degradation II (sucrose synthase); sucrose degradation III (sucrose invertase),PF00294,FALSE,Manes.09G100784
,"Phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent",carb,brown,85,(1 of 2) 5.4.2.11//5.4.2.12 - Phosphoglycerate mutase (2;3-diphosphoglycerate-dependent) / Phosphoglyceromutase // Phosphoglycerate mutase (2;3-diphosphoglycerate-independent) / Phosphoglyceromutase,Manes.09G120000.v8.1,gene,GO:0003824 GO:0004619 GO:0005737 GO:0006007 GO:0030145 GO:0046872,catalytic activity; phosphoglycerate mutase activity; cytoplasm; glucose catabolic process; manganese ion binding; metal ion binding,K15633,,,Manes.09G120000,PTHR31637 PTHR31637:SF3,PWY66-399; GLUCONEO-PWY; PWY-5464; PWY-5723; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"gluconeogenesis III; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Rubisco shunt; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation",PF01676 PF06415,FALSE,Manes.09G120000
,,carb,tan,33,(1 of 1) PTHR11695//PTHR11695:SF538//PTHR11695:SF568 - ALCOHOL DEHYDROGENASE RELATED // SUBFAMILY NOT NAMED // SUBFAMILY NOT NAMED,Manes.09G129300.v8.1,gene,GO:0008270 GO:0016491 GO:0055114,zinc ion binding; oxidoreductase activity,,KOG0022,,Manes.09G129300,PTHR11695 PTHR11695:SF538,PWY-5486; PWY-6333; PWY-6802; PWY66-21; PWY66-389,pyruvate fermentation to ethanol II; acetaldehyde biosynthesis I; salidroside biosynthesis; ethanol degradation II; phytol degradation,PF00107 PF08240,FALSE,Manes.09G129300
VDE,non-photochemical quenching 1,carot,turquoise,80,(1 of 1) K09839 - violaxanthin de-epoxidase (VDE; NPQ1),Manes.09G144600.v8.1,gene,GO:0009507 GO:0046422 GO:0055114,chloroplast; violaxanthin de-epoxidase activity,K09839,,,Manes.09G144600,PTHR33970 PTHR33970:SF1,CAROTENOID-PWY; PWY-5945,"superpathway of carotenoid biosynthesis; zeaxanthin, antheraxanthin and violaxanthin interconversion",PF07137,TRUE,Manes.09G144600
MevK,mevalonate kinase,carot,lightgreen,82,(1 of 2) 2.7.1.36 - Mevalonate kinase,Manes.09G165700.v8.1,gene,GO:0004496 GO:0005524 GO:0005737 GO:0008152 GO:0008299 GO:0016301 GO:0016773,"mevalonate kinase activity; ATP binding; cytoplasm; metabolic process; isoprenoid biosynthetic process; kinase activity; phosphotransferase activity, alcohol group as acceptor",K00869,KOG1511,,Manes.09G165700,PTHR10457 PTHR10457:SF4,PWY-922; PWY-5910,mevalonate pathway I; superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate),PF00288 PF08544,TRUE,Manes.09G165700
,Transketolase family protein,carb,brown,49,(1 of 2) PTHR11624:SF56 - PYRUVATE DEHYDROGENASE E1 COMPONENT SUBUNIT BETA; MITOCHONDRIAL,Manes.09G185400.v8.1,gene,GO:0003824 GO:0004739 GO:0006086 GO:0008152,catalytic activity; pyruvate dehydrogenase (acetyl-transferring) activity; acetyl-CoA biosynthetic process from pyruvate; metabolic process,K00162,,,Manes.09G185400,PTHR11624 PTHR11624:SF56,PWY-5173; PWY-5464; PYRUVDEHYD-PWY,"superpathway of acetyl-CoA biosynthesis; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; pyruvate decarboxylation to acetyl CoA",PF02779 PF02780,FALSE,Manes.09G185400
,UDP-glucose pyrophosphorylase 3,carb,black,88,(1 of 1) PTHR11952//PTHR11952:SF8 - UDP- GLUCOSE PYROPHOSPHORYLASE // UDP-GLUCOSE PYROPHOSPHORYLASE 3,Manes.10G010100.v8.1,gene,GO:0008152 GO:0070569,metabolic process; uridylyltransferase activity,,,,Manes.10G010100,PTHR11952 PTHR11952:SF8,PWY-3801; PWY-6527; SUCSYN-PWY; PWY-7238; PWY-7343,sucrose degradation II (sucrose synthase); stachyose degradation; sucrose biosynthesis I (from photosynthesis); sucrose biosynthesis II; UDP-glucose biosynthesis,PF01704,FALSE,Manes.10G010100
,"Dihydrolipoamide acetyltransferase, long form protein",carb,turquoise,42,(1 of 1) PTHR23151:SF56 - DIHYDROLIPOYLLYSINE-RESIDUE ACETYLTRANSFERASE COMPONENT 1 OF PYRUVATE DEHYDROGENASE COMPLEX; MITOCHONDRIAL,Manes.10G054100.v8.1,gene,GO:0008152 GO:0016746,metabolic process; acyltransferase activity,K00627,KOG0557,,Manes.10G054100,PTHR23151 PTHR23151:SF56,PWY-5173; PWY-5464; PYRUVDEHYD-PWY,"superpathway of acetyl-CoA biosynthesis; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; pyruvate decarboxylation to acetyl CoA",PF00198 PF00364 PF02817,FALSE,Manes.10G054100
,,carb,pink,104,(1 of 3) PTHR11817//PTHR11817:SF33 - PYRUVATE KINASE // SUBFAMILY NOT NAMED,Manes.10G054450.v8.1,gene,GO:0000287 GO:0004743 GO:0006096 GO:0030955,magnesium ion binding; pyruvate kinase activity; glycolytic process; potassium ion binding,K00873,,,Manes.10G054450,PTHR11817 PTHR11817:SF33,PWY-5464; PWY-5723; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Rubisco shunt; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation",PF00224 PF02887,FALSE,Manes.10G054450
,,carb,yellow,77,(1 of 3) 3.1.3.24 - Sucrose-phosphate phosphatase / Sucrose-6-phosphate phosphatase,Manes.10G071200.v8.1,gene,GO:0000287 GO:0003824 GO:0005986 GO:0008152 GO:0016791 GO:0050307,magnesium ion binding; catalytic activity; sucrose biosynthetic process; metabolic process; phosphatase activity; sucrose-phosphate phosphatase activity,,,,Manes.10G071200,PTHR12526 PTHR12526:SF2,SUCSYN-PWY; PWY-7238,sucrose biosynthesis I (from photosynthesis); sucrose biosynthesis II,PF08282 PF08472,FALSE,Manes.10G071200
,"Dihydrolipoamide acetyltransferase, long form protein",carb,brown,57,(1 of 2) PTHR23151//PTHR23151:SF59 - DIHYDROLIPOAMIDE ACETYL/SUCCINYL-TRANSFERASE-RELATED // SUBFAMILY NOT NAMED,Manes.11G023600.v8.1,gene,GO:0004742 GO:0006090 GO:0008152 GO:0016746 GO:0045254,dihydrolipoyllysine-residue acetyltransferase activity; pyruvate metabolic process; metabolic process; acyltransferase activity; pyruvate dehydrogenase complex,K00627,,,Manes.11G023600,PTHR23151 PTHR23151:SF59,PWY-5173; PWY-5464; PYRUVDEHYD-PWY,"superpathway of acetyl-CoA biosynthesis; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; pyruvate decarboxylation to acetyl CoA",PF00198 PF00364 PF02817,FALSE,Manes.11G023600
GGR,geranylgeranyl reductase,carot,turquoise,67,(1 of 1) PTHR12001:SF41 - HETERODIMERIC GERANYLGERANYL PYROPHOSPHATE SYNTHASE SMALL SUBUNIT; CHLOROPLASTIC,Manes.11G098400.v8.1,gene,GO:0008299,isoprenoid biosynthetic process,K13789,KOG0776,,Manes.11G098400,PTHR12001 PTHR12001:SF41,PWY-5910; PWY-5120,superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate); geranylgeranyl diphosphate biosynthesis,PF00348,TRUE,Manes.11G098400
IPDPI,isopentenyl diphosphate isomerase 1,carot,turquoise,61,(1 of 2) 5.3.3.2 - Isopentenyl-diphosphate Delta-isomerase / Methylbutenylpyrophosphate isomerase,Manes.12G005500.v8.1,gene,GO:0004452 GO:0008299 GO:0016787,isopentenyl-diphosphate delta-isomerase activity; isoprenoid biosynthetic process; hydrolase activity,K01823,KOG0142,,Manes.12G005500,PTHR10885 PTHR10885:SF4,PWY-922; PWY-5910; PWY-6859; PWY-7560; PWY-5123,"mevalonate pathway I; superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate); <i>all-trans</i>-farnesol biosynthesis; methylerythritol phosphate pathway II; <i>trans, trans</i>-farnesyl diphosphate biosynthesis",PF00293,TRUE,Manes.12G005500
,ATP citrate lyase (ACL) family protein,carb,turquoise,33,(1 of 2) K01900 - succinyl-CoA synthetase beta subunit (LSC2),Manes.12G034800.v8.1,gene,GO:0003824 GO:0005524 GO:0008152 GO:0046872,catalytic activity; ATP binding; metabolic process; metal ion binding,K01900,,,Manes.12G034800,PTHR11815 PTHR11815:SF1,PWY-5464; PWY-5690,"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi)",PF00549 PF08442,FALSE,Manes.12G034800
,RNAse E/G-like,carb,yellow,17,(1 of 1) 3.1.26.12 - Ribonuclease E / RNase E,Manes.12G064500.v8.1,gene,GO:0003723 GO:0004540 GO:0006396 GO:2001070,RNA binding; RNA nuclease activity; RNA processing; starch binding,,,,Manes.12G064500,PTHR30001 PTHR30001:SF1,,,PF00686 PF10150,FALSE,Manes.12G064500
,aconitase 3,carb,brown,76,(1 of 4) 4.2.1.3 - Aconitate hydratase / Citrate(isocitrate) hydro-lyase,Manes.12G074600.v8.1,gene,GO:0008152,metabolic process,K01681,,,Manes.12G074600,PTHR11670 PTHR11670:SF37,GLYOXYLATE-BYPASS; PWY-5464; PWY-5690; PWY-6549; PWY-561,"glyoxylate cycle; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); L-glutamine biosynthesis III; superpathway of glyoxylate cycle and fatty acid degradation",PF00330 PF00694,FALSE,Manes.12G074600
,disproportionating enzyme,carb,red,55,(1 of 1) PTHR32438//PTHR32438:SF5 - FAMILY NOT NAMED // 4-ALPHA-GLUCANOTRANSFERASE DPE1; CHLOROPLASTIC/AMYLOPLASTIC,Manes.12G142500.v8.1,gene,GO:0004134 GO:0005975,4-alpha-glucanotransferase activity; carbohydrate metabolic process,K00705,,,Manes.12G142500,PTHR32438 PTHR32438:SF5,PWY-6724; PWY-7238,starch degradation II; sucrose biosynthesis II,PF02446,FALSE,Manes.12G142500
HMG-CoA R,violaxanthin de-epoxidase-related,carot,red,97,(1 of 2) 1.10.99.3 - Transferred entry: 1.23.5.1,Manes.12G144300.v8.1,gene,,,,,,Manes.12G144300,PTHR33970 PTHR33970:SF2,CAROTENOID-PWY; PWY-5945,"superpathway of carotenoid biosynthesis; zeaxanthin, antheraxanthin and violaxanthin interconversion",,TRUE,Manes.12G144300
IPDPI,isopentenyl diphosphate isomerase 1,carot,tan,62,(1 of 2) 5.3.3.2 - Isopentenyl-diphosphate Delta-isomerase / Methylbutenylpyrophosphate isomerase,Manes.13G005300.v8.1,gene,GO:0004452 GO:0008299 GO:0016787,isopentenyl-diphosphate delta-isomerase activity; isoprenoid biosynthetic process; hydrolase activity,K01823,KOG0142,,Manes.13G005300,PTHR10885 PTHR10885:SF4,PWY-922; PWY-5910; PWY-6859; PWY-7560; PWY-5123,"mevalonate pathway I; superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate); <i>all-trans</i>-farnesol biosynthesis; methylerythritol phosphate pathway II; <i>trans, trans</i>-farnesyl diphosphate biosynthesis",PF00293,TRUE,Manes.13G005300
,glyceraldehyde-3-phosphate dehydrogenase C2,carb,lightgreen,69,(1 of 8) K00134 - glyceraldehyde 3-phosphate dehydrogenase (GAPDH; gapA),Manes.13G015200.v8.1,gene,GO:0006006 GO:0016620 GO:0050661 GO:0051287 GO:0055114,"glucose metabolic process; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; NADP binding; NAD binding",K00134,KOG0657,,Manes.13G015200,PTHR10836 PTHR10836:SF59,PWY66-399; GLUCONEO-PWY; PWY-5464; PWY-1042; SUCSYN-PWY; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"gluconeogenesis III; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; glycolysis IV (plant cytosol); sucrose biosynthesis I (from photosynthesis); glycolysis III (from glucose); homolactic fermentation",PF00044 PF02800,FALSE,Manes.13G015200
,GroES-like zinc-binding dehydrogenase family protein,carb,black,59,(1 of 2) 1.2.1.1 - Transferred entry: 1.1.1.284 and 4.4.1.22,Manes.13G038500.v8.1,gene,GO:0006069 GO:0008270 GO:0016491 GO:0051903 GO:0055114,zinc ion binding; oxidoreductase activity; S-(hydroxymethyl)glutathione dehydrogenase [NAD(P)+] activity,K00121,,,Manes.13G038500,PTHR11695 PTHR11695:SF269,PWY-5486; PWY-6333; PWY-6802; PWY-1801; PWY66-21; PWY66-389,pyruvate fermentation to ethanol II; acetaldehyde biosynthesis I; salidroside biosynthesis; formaldehyde oxidation II (glutathione-dependent); ethanol degradation II; phytol degradation,PF00107 PF08240,FALSE,Manes.13G038500
,hexokinase-like 1,carb,royalblue,61,(1 of 2) PTHR19443:SF6 - HEXOKINASE-3-RELATED,Manes.14G005400.v8.1,gene,GO:0001678 GO:0004396 GO:0005524 GO:0005536 GO:0005975 GO:0016773 GO:0046835,"intracellular glucose homeostasis; hexokinase activity; ATP binding; D-glucose binding; carbohydrate metabolic process; phosphotransferase activity, alcohol group as acceptor; carbohydrate phosphorylation",K00844,,,Manes.14G005400,PTHR19443 PTHR19443:SF6,PWY-621; PWY-7238; ANAGLYCOLYSIS-PWY; GLUCOSE1PMETAB-PWY; ANAEROFRUCAT-PWY,sucrose degradation III (sucrose invertase); sucrose biosynthesis II; glycolysis III (from glucose); glucose and glucose-1-phosphate degradation; homolactic fermentation,PF00349 PF03727,FALSE,Manes.14G005400
,plastidic pyruvate kinase beta subunit 1,carb,turquoise,137,(1 of 2) PTHR11817//PTHR11817:SF2 - PYRUVATE KINASE // PLASTIDIAL PYRUVATE KINASE 2,Manes.14G019870.v8.1,gene,GO:0000287 GO:0004743 GO:0006096 GO:0030955,magnesium ion binding; pyruvate kinase activity; glycolytic process; potassium ion binding,K00873,,,Manes.14G019870,PTHR11817 PTHR11817:SF2,PWY-5464; PWY-5723; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Rubisco shunt; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation",PF00224 PF02887,FALSE,Manes.14G019870
,phosphofructokinase 4,carb,red,46,(1 of 1) PTHR13697//PTHR13697:SF33 - PHOSPHOFRUCTOKINASE // 6-PHOSPHOFRUCTOKINASE 4; CHLOROPLASTIC,Manes.14G038800.v8.1,gene,GO:0003872 GO:0005524 GO:0006002 GO:0006096,6-phosphofructokinase activity; ATP binding; fructose 6-phosphate metabolic process; glycolytic process,K00850,,,Manes.14G038800,PTHR13697 PTHR13697:SF33,PWY-5464; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation",PF00365,FALSE,Manes.14G038800
,glyceraldehyde-3-phosphate dehydrogenase C2,carb,pink,136,(1 of 8) K00134 - glyceraldehyde 3-phosphate dehydrogenase (GAPDH; gapA),Manes.14G054600.v8.1,gene,GO:0006006 GO:0016620 GO:0050661 GO:0051287 GO:0055114,"glucose metabolic process; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; NADP binding; NAD binding",K00134,KOG0657,,Manes.14G054600,PTHR10836 PTHR10836:SF59,PWY66-399; GLUCONEO-PWY; PWY-5464; PWY-1042; SUCSYN-PWY; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"gluconeogenesis III; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; glycolysis IV (plant cytosol); sucrose biosynthesis I (from photosynthesis); glycolysis III (from glucose); homolactic fermentation",PF00044 PF02800,FALSE,Manes.14G054600
,2-oxoacid dehydrogenases acyltransferase family protein,carb,yellow,62,(1 of 5) K00627 - pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) (DLAT; aceF; pdhC),Manes.14G100900.v8.1,gene,GO:0008152 GO:0016746,metabolic process; acyltransferase activity,K00627,KOG0557,,Manes.14G100900,PTHR23151 PTHR23151:SF61,PWY-5173; PWY-5464; PYRUVDEHYD-PWY,"superpathway of acetyl-CoA biosynthesis; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; pyruvate decarboxylation to acetyl CoA",PF00198 PF00364 PF02817,FALSE,Manes.14G100900
,,carb,midnightblue,51,(1 of 11) 3.2.1.2 - Beta-amylase / Saccharogen amylase,Manes.14G122700.v8.1,gene,,,,,,Manes.14G122700,PTHR31506 PTHR31506:SF4,PWY-6724,starch degradation II,PF05687,FALSE,Manes.14G122700
,Actin-like ATPase superfamily protein,carb,black,93,(1 of 2) KOG1794 - N-Acetylglucosamine kinase,Manes.14G123700.v8.1,gene,,arginine binding; protein complex oligomerization,,KOG1794,,Manes.14G123700,PTHR12862 PTHR12862:SF6,PWY-621; PWY-7238; ANAGLYCOLYSIS-PWY; GLUCOSE1PMETAB-PWY; ANAEROFRUCAT-PWY,sucrose degradation III (sucrose invertase); sucrose biosynthesis II; glycolysis III (from glucose); glucose and glucose-1-phosphate degradation; homolactic fermentation,PF01869,FALSE,Manes.14G123700
,AFG1-like ATPase family protein,carb,turquoise,142,(1 of 1) PTHR12169:SF6 - LACTATION ELEVATED PROTEIN 1,Manes.14G150200.v8.1,gene,GO:0005524,ATP binding,,,,Manes.14G150200,PTHR12169 PTHR12169:SF6,PWY-621; PWY-7238; ANAGLYCOLYSIS-PWY; GLUCOSE1PMETAB-PWY; ANAEROFRUCAT-PWY,sucrose degradation III (sucrose invertase); sucrose biosynthesis II; glycolysis III (from glucose); glucose and glucose-1-phosphate degradation; homolactic fermentation,PF03969,FALSE,Manes.14G150200
MEPCT,Nucleotide-diphospho-sugar transferases superfamily protein,carot,turquoise,70,(1 of 2) 2.7.7.60 - 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase / MEP cytidylyltransferase,Manes.14G166900.v8.1,gene,GO:0008299 GO:0050518,isoprenoid biosynthetic process; 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity,K00991,,,Manes.14G166900,PTHR32125 PTHR32125:SF4,PWY-7560,methylerythritol phosphate pathway II,PF12804,TRUE,Manes.14G166900
,Mevalonate/galactokinase family protein,carb,lightgreen,41,(1 of 2) 2.7.1.6//5.1.3.2 - Galactokinase // UDP-glucose 4-epimerase / Uridine diphospho-galactose-4-epimerase,Manes.15G001800.v8.1,gene,GO:0004335 GO:0005524 GO:0005737 GO:0006012 GO:0008152 GO:0016301 GO:0016773 GO:0046835,"galactokinase activity; ATP binding; cytoplasm; galactose metabolic process; metabolic process; kinase activity; phosphotransferase activity, alcohol group as acceptor; carbohydrate phosphorylation",K18674,KOG0631,,Manes.15G001800,PTHR10457 PTHR10457:SF7,PWY-3821; PWY-6527; PWY66-422; PWY-7344,D-galactose degradation III; stachyose degradation; D-galactose degradation V (Leloir pathway); UDP-D-galactose biosynthesis,PF00288 PF08544 PF10509,FALSE,Manes.15G001800
DXP,Deoxyxylulose-5-phosphate synthase,carot,brown,52,(1 of 3) PTHR11624//PTHR11624:SF83 - DEHYDROGENASE RELATED // SUBFAMILY NOT NAMED,Manes.15G018800.v8.1,gene,GO:0003824 GO:0008152 GO:0008661 GO:0016114,catalytic activity; metabolic process; 1-deoxy-D-xylulose-5-phosphate synthase activity; terpenoid biosynthetic process,K01662,,,Manes.15G018800,PTHR11624 PTHR11624:SF83,PWY-7560,methylerythritol phosphate pathway II,PF02779 PF02780 PF13292,TRUE,Manes.15G018800
,Pyruvate kinase family protein,carb,darkred,81,(1 of 2) PTHR11817//PTHR11817:SF14 - PYRUVATE KINASE // PLASTIDIAL PYRUVATE KINASE 1; CHLOROPLASTIC,Manes.15G034400.v8.1,gene,GO:0000287 GO:0004743 GO:0006096 GO:0030955,magnesium ion binding; pyruvate kinase activity; glycolytic process; potassium ion binding,K00873,KOG2323,,Manes.15G034400,PTHR11817 PTHR11817:SF14,PWY-5464; PWY-5723; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Rubisco shunt; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation",PF00224 PF02887,FALSE,Manes.15G034400
,beta-amylase 4,carb,pink,70,(1 of 1) PTHR31352:SF9 - INACTIVE BETA-AMYLASE 4; CHLOROPLASTIC,Manes.15G060100.v8.1,gene,GO:0000272 GO:0016161,polysaccharide catabolic process; beta-amylase activity,K01177,,,Manes.15G060100,PTHR31352 PTHR31352:SF9,,,PF01373,FALSE,Manes.15G060100
NCED9,nine-cis-epoxycarotenoid dioxygenase 5,carot,darkturquoise,62,(1 of 2) PTHR10543//PTHR10543:SF42 - BETA-CAROTENE DIOXYGENASE // 9-CIS-EPOXYCAROTENOID DIOXYGENASE NCED2; CHLOROPLASTIC-RELATED,Manes.15G122400.v8.1,gene,,,K09840,,,Manes.15G122400,PTHR10543 PTHR10543:SF42,PWY-695,abscisic acid biosynthesis,PF03055,TRUE,Manes.15G122400
